hog_graph_index,sdp_seed,present_p,missing_cached_p
114,3000042,[1],"[3, 5]"
114,4000042,[1],"[3, 5]"
114,5000042,[1],"[3, 5]"
114,6000042,[1],"[3, 5]"
114,7000042,[1],"[3, 5]"
114,8000042,[1],"[3, 5]"
114,9000042,[1],"[3, 5]"
115,42,[1],"[3, 5]"
115,1000042,[1],"[3, 5]"
115,2000042,[1],"[3, 5]"
115,3000042,[1],"[3, 5]"
115,4000042,[1],"[3, 5]"
115,5000042,[1],"[3, 5]"
115,6000042,[1],"[3, 5]"
115,7000042,[1],"[3, 5]"
115,8000042,[1],"[3, 5]"
115,9000042,[1],"[3, 5]"
116,42,[1],"[3, 5]"
116,1000042,[1],"[3, 5]"
116,2000042,[1],"[3, 5]"
116,3000042,[1],"[3, 5]"
116,4000042,[1],"[3, 5]"
116,5000042,[1],"[3, 5]"
116,6000042,[1],"[3, 5]"
116,7000042,[1],"[3, 5]"
116,8000042,[1],"[3, 5]"
116,9000042,[1],"[3, 5]"
117,42,[1],"[3, 5]"
117,1000042,[1],"[3, 5]"
117,2000042,[1],"[3, 5]"
117,3000042,[1],"[3, 5]"
117,4000042,[1],"[3, 5]"
117,5000042,[1],"[3, 5]"
117,6000042,[1],"[3, 5]"
117,7000042,[1],"[3, 5]"
117,8000042,[1],"[3, 5]"
117,9000042,[1],"[3, 5]"
118,42,[1],"[3, 5]"
118,1000042,[1],"[3, 5]"
118,2000042,[1],"[3, 5]"
118,3000042,[1],"[3, 5]"
118,4000042,[1],"[3, 5]"
118,5000042,[1],"[3, 5]"
118,6000042,[1],"[3, 5]"
118,7000042,[1],"[3, 5]"
118,8000042,[1],"[3, 5]"
118,9000042,[1],"[3, 5]"
119,42,[1],"[3, 5]"
119,1000042,[1],"[3, 5]"
119,2000042,[1],"[3, 5]"
119,3000042,[1],"[3, 5]"
119,4000042,[1],"[3, 5]"
119,5000042,[1],"[3, 5]"
119,6000042,[1],"[3, 5]"
119,7000042,[1],"[3, 5]"
119,8000042,[1],"[3, 5]"
119,9000042,[1],"[3, 5]"
120,42,[1],"[3, 5]"
120,1000042,[1],"[3, 5]"
120,2000042,[1],"[3, 5]"
120,3000042,[1],"[3, 5]"
120,4000042,[1],"[3, 5]"
120,5000042,[1],"[3, 5]"
120,6000042,[1],"[3, 5]"
120,7000042,[1],"[3, 5]"
120,8000042,[1],"[3, 5]"
120,9000042,[1],"[3, 5]"
121,42,[1],"[3, 5]"
121,1000042,[1],"[3, 5]"
121,2000042,[1],"[3, 5]"
121,3000042,[1],"[3, 5]"
121,4000042,[1],"[3, 5]"
121,5000042,[1],"[3, 5]"
121,6000042,[1],"[3, 5]"
121,7000042,[1],"[3, 5]"
121,8000042,[1],"[3, 5]"
121,9000042,[1],"[3, 5]"
122,42,[1],"[3, 5]"
122,1000042,[1],"[3, 5]"
122,2000042,[1],"[3, 5]"
122,3000042,[1],"[3, 5]"
122,4000042,[1],"[3, 5]"
122,5000042,[1],"[3, 5]"
122,6000042,[1],"[3, 5]"
122,7000042,[1],"[3, 5]"
122,8000042,[1],"[3, 5]"
122,9000042,[1],"[3, 5]"
123,42,[1],"[3, 5]"
123,1000042,[1],"[3, 5]"
123,2000042,[1],"[3, 5]"
123,3000042,[1],"[3, 5]"
123,4000042,[1],"[3, 5]"
123,5000042,[1],"[3, 5]"
123,6000042,[1],"[3, 5]"
123,7000042,[1],"[3, 5]"
123,8000042,[1],"[3, 5]"
123,9000042,[1],"[3, 5]"
124,42,[1],"[3, 5]"
124,1000042,[1],"[3, 5]"
124,2000042,[1],"[3, 5]"
124,3000042,[1],"[3, 5]"
124,4000042,[1],"[3, 5]"
124,5000042,[1],"[3, 5]"
124,6000042,[1],"[3, 5]"
124,7000042,[1],"[3, 5]"
124,8000042,[1],"[3, 5]"
124,9000042,[1],"[3, 5]"
125,42,[1],"[3, 5]"
