hog_graph_index,sdp_seed,p,logs,status
59,6000042,5,0,0
59,7000042,3,0,0
59,7000042,5,0,0
59,8000042,3,0,0
59,8000042,5,0,0
59,9000042,3,0,0
59,9000042,5,0,0
60,42,3,0,0
60,42,5,0,0
60,1000042,3,0,0
60,1000042,5,0,0
60,2000042,3,0,0
60,2000042,5,0,0
60,3000042,3,0,0
60,3000042,5,0,0
60,4000042,3,0,0
60,4000042,5,0,0
60,5000042,3,0,0
60,5000042,5,0,0
60,6000042,3,0,0
60,6000042,5,0,0
60,7000042,3,0,0
60,7000042,5,0,0
60,8000042,3,0,0
60,8000042,5,0,0
60,9000042,3,0,0
60,9000042,5,0,0
61,42,3,0,0
61,42,5,0,0
61,1000042,3,0,0
61,1000042,5,0,0
61,2000042,3,0,0
61,2000042,5,0,0
61,3000042,3,0,0
61,3000042,5,0,0
61,4000042,3,0,0
61,4000042,5,0,0
61,5000042,3,0,0
61,5000042,5,0,0
61,6000042,3,0,0
61,6000042,5,0,0
61,7000042,3,0,0
61,7000042,5,0,0
61,8000042,3,0,0
61,8000042,5,0,0
61,9000042,3,0,0
61,9000042,5,0,0
62,42,3,0,0
62,42,5,0,0
62,1000042,3,0,0
62,1000042,5,0,0
62,2000042,3,0,0
62,2000042,5,0,0
62,3000042,3,0,0
62,3000042,5,0,0
62,4000042,3,0,0
62,4000042,5,0,0
62,5000042,3,0,0
62,5000042,5,0,0
62,6000042,3,0,0
62,6000042,5,0,0
62,7000042,3,0,0
62,7000042,5,0,0
62,8000042,3,0,0
62,8000042,5,0,0
62,9000042,3,0,0
62,9000042,5,0,0
63,42,3,0,0
63,42,5,0,0
63,1000042,3,0,0
63,1000042,5,0,0
63,2000042,3,0,0
63,2000042,5,0,0
63,3000042,3,0,0
63,3000042,5,0,0
63,4000042,3,0,0
63,4000042,5,0,0
63,5000042,3,0,0
63,5000042,5,0,0
63,6000042,3,0,0
63,6000042,5,0,0
63,7000042,3,0,0
63,7000042,5,0,0
63,8000042,3,0,0
63,8000042,5,0,0
63,9000042,3,0,0
63,9000042,5,0,0
64,42,3,0,0
64,42,5,0,0
64,1000042,3,0,0
64,1000042,5,0,0
64,2000042,3,0,0
64,2000042,5,0,0
64,3000042,3,0,0
64,3000042,5,0,0
64,4000042,3,0,0
64,4000042,5,0,0
64,5000042,3,0,0
64,5000042,5,0,0
64,6000042,3,0,0
64,6000042,5,0,0
