log_file,file_n,repeat,hog_idx,nodes,edges,parsed_num_edges,graph_type,generator_n,weighted,random_weights,finished,exact_result,rounded_energy,alg17_lower_bound_energy,alg17_actual_energy,sdp_objective_value,cut_edges,rounded_over_exact,alg17_lower_bound_over_exact,alg17_actual_over_exact,sdp_objective_over_exact,cut_edges_over_exact,rounded_over_sdp,alg17_actual_over_sdp,sdp_objective_over_edges,start_time,duration,duration_seconds,exact_error,exact_result_raw,exact_result_log_scale,rounded_over_exact_rescaled,alg17_lower_bound_over_exact_rescaled,alg17_actual_over_exact_rescaled,sdp_objective_over_exact_rescaled,cut_edges_over_exact_rescaled
sdp_n30_rep1_seednone.log,30,1,30,5,8,8,hog,30,False,False,True,8.000000000000009,5.43204237607886,4.986277963147275,5.7075381888364145,8.01034023419954,6,0.6790052970098567,0.6232847453934087,0.713442273604551,1.0012925292749415,0.7499999999999992,0.6781287956892476,0.7125213189408001,1.0012925292749426,2026-06-30 15:33:56 CEST,18s,17.61,,8.000000000000009,16.000000000000018,0.33950264850492834,0.31164237269670436,0.3567211368022755,0.5006462646374708,0.3749999999999996
sdp_n31_rep1_seednone.log,31,1,31,7,11,11,hog,31,False,False,True,11.293334951088127,7.067185281076896,6.951000207015779,7.415519844815904,11.396327635906726,6,0.6257837309957732,0.6154957979304458,0.6566279913712654,1.009119775979785,0.5312868188171371,0.6201282998226656,0.6506938095963142,1.0360297850824296,2026-06-30 15:33:59 CEST,5m 51s,351.47,,11.293334951088127,22.586669902176254,0.3128918654978866,0.3077478989652229,0.3283139956856327,0.5045598879898925,0.26564340940856856
sdp_n32_rep1_seednone.log,32,1,32,9,14,14,hog,32,False,False,False,14.37007904273639,,,,,,,,,,,,,,2026-06-30 15:34:02 CEST,,,,14.37007904273639,28.74015808547278,,,,,
sdp_n33_rep1_seednone.log,33,1,33,11,17,17,hog,33,False,False,False,17.426842800871608,,,,,,,,,,,,,,2026-06-30 15:34:05 CEST,,,,17.426842800871608,34.853685601743216,,,,,
sdp_n34_rep1_seednone.log,34,1,34,5,8,8,hog,34,False,False,True,8.000000000000002,5.3501232653576505,4.984077768916742,5.607021175302686,8.254413764939097,6,0.6687654081697062,0.6230097211145926,0.7008776469128356,1.0318017206173868,0.7499999999999999,0.648153026697363,0.6792755167082487,1.031801720617387,2026-06-30 15:34:27 CEST,26s,26.16,,8.000000000000002,16.000000000000004,0.3343827040848531,0.3115048605572963,0.3504388234564178,0.5159008603086934,0.37499999999999994
sdp_n35_rep1_seednone.log,35,1,35,6,12,12,hog,35,False,False,True,11.99999999999998,6.917170494390789,7.130337734896006,6.917171851643162,12.000012639084972,6,0.5764308745325667,0.5941948112413348,0.5764309876369311,1.0000010532570827,0.5000000000000008,0.5764302674033049,0.5764303805075502,1.0000010532570809,2026-06-30 15:34:30 CEST,1m 42s,102.41,,11.99999999999998,23.99999999999996,0.28821543726628335,0.2970974056206674,0.28821549381846556,0.5000005266285413,0.2500000000000004
sdp_n36_rep1_seednone.log,36,1,36,7,18,18,hog,36,False,False,True,15.000000000000043,9.925509020660634,9.575300312075152,9.925509020660629,15.749517221343872,8,0.6617006013773737,0.6383533541383416,0.6617006013773734,1.0499678147562552,0.5333333333333318,0.6302103665253628,0.6302103665253624,0.8749731789635484,2026-06-30 15:35:01 CEST,5m 40s,340.46,,15.000000000000043,30.000000000000085,0.33085030068868687,0.3191766770691708,0.3308503006886867,0.5249839073781276,0.2666666666666659
sdp_n37_rep1_seednone.log,37,1,37,8,24,24,hog,37,False,False,True,20.000000000000032,14.920316095426307,12.260147180365715,14.920316095426303,19.99795727020794,14,0.7460158047713141,0.6130073590182847,0.7460158047713139,0.9998978635103954,0.6999999999999988,0.7460920079899322,0.746092007989932,0.8332482195919976,2026-06-30 15:35:03 CEST,20m 9s,1209.28,,20.000000000000032,40.000000000000064,0.37300790238565706,0.30650367950914237,0.37300790238565695,0.4999489317551977,0.3499999999999994
sdp_n38_rep1_seednone.log,38,1,38,9,32,32,hog,38,False,False,False,24.00000000000001,,,,,,,,,,,,,,2026-06-30 15:35:16 CEST,,,,24.00000000000001,48.00000000000002,,,,,
sdp_n39_rep1_seednone.log,39,1,39,10,40,40,hog,39,False,False,False,30.000000000000064,,,,,,,,,,,,,,2026-06-30 15:36:18 CEST,,,,30.000000000000064,60.00000000000013,,,,,
sdp_n40_rep1_seednone.log,40,1,40,5,6,6,hog,40,False,False,True,7.177409680899284,3.505386786167707,4.273180650622786,3.75675794234677,7.200292924877656,4,0.4883916262292142,0.5953652975940177,0.5234141715979171,1.0031882315481127,0.5573041219375993,0.48683946927440713,0.5217507095255576,1.2000488208129427,2026-06-30 15:39:05 CEST,27s,27.37,,7.177409680899284,14.354819361798569,0.2441958131146071,0.29768264879700884,0.26170708579895857,0.5015941157740563,0.27865206096879963
sdp_n41_rep1_seednone.log,41,1,41,6,10,10,hog,41,False,False,True,11.069784138805034,6.715759725232143,6.710812005021891,7.11563362019991,11.069553575207916,6,0.6066748584274652,0.6062279011834745,0.6427978658821465,0.9999791718073066,0.5420159891796852,0.6066874946315081,0.6428112544788203,1.1069553575207915,2026-06-30 15:39:16 CEST,1m 44s,104.07,,11.069784138805034,22.139568277610067,0.3033374292137326,0.30311395059173724,0.32139893294107325,0.4999895859036533,0.2710079945898426
sdp_n42_rep1_seednone.log,42,1,42,7,15,15,hog,42,False,False,True,14.323752061453767,9.655185463640139,8.890075016908229,9.925396633141437,14.640073674855545,10,0.6740681786599008,0.6206526738781001,0.692932730932378,1.0220837118685557,0.6981410985820335,0.6595038848898012,0.677960839103453,0.9760049116570363,2026-06-30 15:39:19 CEST,6m 21s,381.24,,14.323752061453767,28.647504122907534,0.3370340893299504,0.31032633693905004,0.346466365466189,0.5110418559342779,0.3490705492910168
sdp_n43_rep1_seednone.log,43,1,43,8,21,21,hog,43,False,False,True,19.265028782316286,12.06820546045816,11.96685711049668,12.547417120739919,19.274065470823636,13,0.6264306997317223,0.621169957528497,0.6513053918848757,1.0004690721519007,0.6747978498704831,0.6261369963034815,0.6510000259018385,0.9178126414677922,2026-06-30 15:39:32 CEST,20m 14s,1213.75,,19.265028782316286,38.53005756463257,0.31321534986586114,0.3105849787642485,0.32565269594243784,0.5002345360759504,0.33739892493524154
sdp_n44_rep1_seednone.log,44,1,44,9,28,28,hog,44,False,False,False,23.42955456505785,,,,,,,,,,,,,,2026-06-30 15:39:43 CEST,,,,23.42955456505785,46.8591091301157,,,,,
sdp_n45_rep1_seednone.log,45,1,45,10,36,36,hog,45,False,False,False,29.392401949413973,,,,,,,,,,,,,,2026-06-30 15:39:46 CEST,,,,29.392401949413973,58.784803898827946,,,,,
sdp_n46_rep1_seednone.log,46,1,46,4,6,6,hog,46,False,False,False,6.000000000000001,,,,,,,,,,,,,,2026-06-30 15:39:59 CEST,,,,6.000000000000001,12.000000000000002,,,,,
sdp_n47_rep1_seednone.log,47,1,47,5,10,10,hog,47,False,False,False,8.000000000000009,,,,,,,,,,,,,,2026-06-30 15:40:13 CEST,,,,8.000000000000009,16.000000000000018,,,,,
sdp_n48_rep1_seednone.log,48,1,48,6,15,15,hog,48,False,False,False,12.000000000000023,,,,,,,,,,,,,,2026-06-30 15:40:23 CEST,,,,12.000000000000023,24.000000000000046,,,,,
sdp_n49_rep1_seednone.log,49,1,49,7,21,21,hog,49,False,False,False,15.000000000000004,,,,,,,,,,,,,,2026-06-30 15:40:36 CEST,,,,15.000000000000004,30.000000000000007,,,,,
sdp_n50_rep1_seednone.log,50,1,50,8,28,28,hog,50,False,False,False,20.0,,,,,,,,,,,,,,2026-06-30 15:40:48 CEST,,,,20.0,40.0,,,,,
sdp_n51_rep1_seednone.log,51,1,51,9,36,36,hog,51,False,False,False,24.000000000000068,,,,,,,,,,,,,,2026-06-30 15:40:51 CEST,,,,24.000000000000068,48.000000000000135,,,,,
sdp_n52_rep1_seednone.log,52,1,52,7,19,19,hog,52,False,False,True,15.000000000000014,11.061477225247597,9.868507515609258,11.192073781335313,15.657209752938094,11,0.7374318150165058,0.6579005010406166,0.7461382520890202,1.0438139835292053,0.7333333333333326,0.7064781911842177,0.7148191764650217,0.8240636712072681,2026-06-30 15:40:54 CEST,6m 28s,388.19,,15.000000000000014,30.00000000000003,0.3687159075082529,0.3289502505203083,0.3730691260445101,0.5219069917646026,0.3666666666666663
sdp_n53_rep1_seednone.log,53,1,53,8,20,20,hog,53,False,False,True,18.967817692682395,12.346390825436334,11.884072940603275,12.811447462693588,18.97356381813743,12,0.6509125628194674,0.6265387580769525,0.6754307569940491,1.0003029407783295,0.6326505344170135,0.6507154345792449,0.6752262034424298,0.9486781909068714,2026-06-30 15:40:56 CEST,20m 31s,1231.44,,18.967817692682395,37.93563538536479,0.3254562814097337,0.31326937903847624,0.33771537849702454,0.5001514703891647,0.31632526720850673
sdp_n54_rep1_seednone.log,54,1,54,9,34,34,hog,54,False,False,False,24.000000000000064,,,,,,,,,,,,,,2026-06-30 15:41:10 CEST,,,,24.000000000000064,48.00000000000013,,,,,
sdp_n55_rep1_seednone.log,55,1,55,10,38,38,hog,55,False,False,False,29.37345963552664,,,,,,,,,,,,,,2026-06-30 15:45:48 CEST,,,,29.37345963552664,58.74691927105328,,,,,
sdp_n56_rep1_seednone.log,56,1,56,11,42,42,hog,56,False,False,False,32.42848310530969,,,,,,,,,,,,,,2026-06-30 15:47:29 CEST,,,,32.42848310530969,64.85696621061938,,,,,
sdp_n57_rep1_seednone.log,57,1,57,7,18,18,hog,57,False,False,True,15.000000000000032,11.251755216179127,9.667151361137712,11.548264177381872,15.57259725566584,11,0.7501170144119402,0.6444767574091794,0.7698842784921232,1.0381731503777205,0.7333333333333317,0.722535555980256,0.7415759868303421,0.8651442919814356,2026-06-30 15:53:12 CEST,6m 45s,405.16,,15.000000000000032,30.000000000000064,0.3750585072059701,0.3222383787045897,0.3849421392460616,0.5190865751888603,0.36666666666666586
sdp_n58_rep1_seednone.log,58,1,58,8,21,21,hog,58,False,False,False,19.618033988749936,,,,,,,,,,,,,,2026-06-30 15:53:23 CEST,,,,19.618033988749936,39.23606797749987,,,,,
sdp_n59_rep1_seednone.log,59,1,59,9,27,27,hog,59,False,False,False,22.477253670088565,,,,,,,,,,,,,,2026-06-30 15:55:27 CEST,,,,22.477253670088565,44.95450734017713,,,,,
sdp_n60_rep1_seednone.log,60,1,60,10,36,36,hog,60,False,False,False,28.24714919911913,,,,,,,,,,,,,,2026-06-30 15:59:58 CEST,,,,28.24714919911913,56.49429839823826,,,,,
sdp_n61_rep1_seednone.log,61,1,61,11,42,42,hog,61,False,False,False,32.838031624316464,,,,,,,,,,,,,,2026-06-30 16:00:10 CEST,,,,32.838031624316464,65.67606324863293,,,,,
sdp_n62_rep1_seednone.log,62,1,62,7,15,15,hog,62,False,False,True,13.361468766185844,9.530542447564255,8.293121694174042,9.607318662542113,13.581376226389903,10,0.7132855387637774,0.6206744063318566,0.7190316297303752,1.0164583298477323,0.7484207144432515,0.7017361340042628,0.7073891851898029,0.9054250817593269,2026-06-30 16:01:34 CEST,6m 8s,367.6,,13.361468766185844,26.722937532371688,0.3566427693818887,0.3103372031659283,0.3595158148651876,0.5082291649238662,0.37421035722162577
sdp_n63_rep1_seednone.log,63,1,63,8,23,23,hog,63,False,False,False,20.000000000000025,,,,,,,,,,,,,,2026-06-30 16:07:47 CEST,,,,20.000000000000025,40.00000000000005,,,,,
